unique ID;PaperID;RowID;MethodID;Description;NeedChecking;RawData
1;34347;1;14;;N;14
2;35729;2;91;;N;91
3;36337;3;14;;N;14
4;18502;4;19;;N;19
5;19198;5;14;;N;14
6;17381;6;19;;N;19
7;26887;7;19;;N;19
8;21402;8;112;;N;"112; 52; 42; 25"
9;21402;8;52;;N;"112; 52; 42; 25"
10;21402;8;42;;N;"112; 52; 42; 25"
11;21402;8;25;;N;"112; 52; 42; 25"
12;62667;9;91;;N;91
13;33330;10;14;;N;14
14;75784;11;91;;N;"91; ""Bayesian logit regression model"" (linked to 5)"
15;75784;11;122;"""Bayesian logit regression model"" (linked to 5)";Y;"91; ""Bayesian logit regression model"" (linked to 5)"
16;38316;12;99;;N;99
17;73144;13;14;discrete choice experiment (linked to 14);Y;discrete choice experiment (linked to 14)
18;24119;14;112;;N;112
19;38518;15;91;;N;91
20;38518;16;25;;N;"25; Overall economic benefits estimation"
21;38518;16;142;Overall economic benefits estimation;Y;"25; Overall economic benefits estimation"
22;39883;17;99;;N;"99; 112"
23;39883;17;112;;N;"99; 112"
24;72367;18;109;;N;109
25;24450;19;19;;N;"19; Tobit Model (Tobin 1948); Probit Econometric Model"
26;24450;19;122;Tobit Model (Tobin 1948);Y;"19; Tobit Model (Tobin 1948); Probit Econometric Model"
27;24450;19;122;Probit Econometric Model;Y;"19; Tobit Model (Tobin 1948); Probit Econometric Model"
28;23353;20;43;;N;"43; 25"
29;23353;20;25;;N;"43; 25"
30;17634;21;64;;N;"64; Fiesta Model"
31;17634;21;155;Fiesta Model;Y;"64; Fiesta Model"
32;59056;22;19;;N;19
33;26184;23;112;;N;112
34;41148;24;14;;N;14
35;34696;25;19;;N;19
36;19537;26;23;Benefit-cost ratio (linked to 22);Y;Benefit-cost ratio (linked to 22)
37;21392;27;112;;N;112
38;25128;28;158;"Protection Motivation Theory - PMT Rogers and Prentice-Dunn,
 1997";Y;"Protection Motivation Theory - PMT Rogers and Prentice-Dunn,
 1997; 19"
39;25128;28;19;;N;"Protection Motivation Theory - PMT Rogers and Prentice-Dunn,
 1997; 19"
40;60692;29;14;;N;14
41;19947;30;91;;N;91
42;31541;31;14;Choice Modelling (Lancaster 1966, linked to 14);Y;Choice Modelling (Lancaster 1966, linked to 14)
43;24898;32;100;;N;100
44;17943;33;19;;N;19
45;31994;34;14;;N;14
46;43682;35;91;;N;91
47;21466;36;14;;N;14
48;27429;37;19;;N;19
49;47503;38;112;;N;112
50;35199;39;14;;N;14
51;19484;40;91;;N;"91; 112"
52;19484;40;112;;N;"91; 112"
53;21582;41;14;;N;14
54;20239;42;19;;N;19
55;31176;43;109;;N;109
56;23073;44;100;;N;100
57;31942;45;19;;N;19
58;33268;46;112;;N;112
59;17191;47;10;ATOMIS - Assessment Tool for Metals in Soils;Y;"ATOMIS - Assessment Tool for Metals in Soils; SWAT - Soil and Water Assessment Tool; ProF - Prognosis of Floristics; GEPARD - Geographically Explicit Prediction of Animal Richness Distributions; ProLand - Prognosis of Land Use; CHOICE - Choice Valuation of Non-Commodities (linked to including 19 and 22)"
60;17191;47;155;SWAT - Soil and Water Assessment Tool;Y;"ATOMIS - Assessment Tool for Metals in Soils; SWAT - Soil and Water Assessment Tool; ProF - Prognosis of Floristics; GEPARD - Geographically Explicit Prediction of Animal Richness Distributions; ProLand - Prognosis of Land Use; CHOICE - Choice Valuation of Non-Commodities (linked to including 19 and 22)"
61;17191;47;10;ProF - Prognosis of Floristics;Y;"ATOMIS - Assessment Tool for Metals in Soils; SWAT - Soil and Water Assessment Tool; ProF - Prognosis of Floristics; GEPARD - Geographically Explicit Prediction of Animal Richness Distributions; ProLand - Prognosis of Land Use; CHOICE - Choice Valuation of Non-Commodities (linked to including 19 and 22)"
62;17191;47;130;GEPARD - Geographically Explicit Prediction of Animal Richness Distributions;Y;"ATOMIS - Assessment Tool for Metals in Soils; SWAT - Soil and Water Assessment Tool; ProF - Prognosis of Floristics; GEPARD - Geographically Explicit Prediction of Animal Richness Distributions; ProLand - Prognosis of Land Use; CHOICE - Choice Valuation of Non-Commodities (linked to including 19 and 22)"
